商品名,一般名詞,大分類,中分類,小分類（カテゴリ）,小分類（商品）,キーワード,店舗,価格（税込）,価格（税抜）,価格テキスト,JANコード,メーカー,在庫,画像URL,登録日時
キユーピー　すりおろしオニオンドレッシング　３８０ｍｌ,ドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['ドレッシング', 'オニオンドレッシング', 'キユーピー', 'サラダ']",ダイエーネットスーパー,429.84,398.0,本体¥398.0 / 税込¥429.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/33/4901577082733_th.jpg,2025-12-27T21:01:28.102682+00:00
キユーピー　にんじん　ドレッシング　１８０ｍｌ,ドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['ドレッシング', 'にんじん', 'キユーピー', '調味料', 'サラダ']",ダイエーネットスーパー,267.84,248.0,本体¥248.0 / 税込¥267.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/13/4901577451713_th.jpg,2025-12-27T21:01:38.633866+00:00
キユーピー　アマニ油ドレッシング　ごま豆乳入り　２１０ｍｌ,ドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['ドレッシング', 'アマニ油', 'ごま豆乳', 'キユーピー']",ダイエーネットスーパー,321.84,298.0,本体¥298.0 / 税込¥321.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/69/4901577090769_th.jpg,2025-12-27T21:01:29.561202+00:00
キユーピー　アマニ油ドレッシング　和風たまねぎ　２１０ｍｌ（機能性表．．．,ドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['アマニ油', 'ドレッシング', '和風たまねぎ', 'キユーピー']",ダイエーネットスーパー,321.84,298.0,本体¥298.0 / 税込¥321.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/56/4901577090356_th.jpg,2025-12-27T21:01:29.203155+00:00
キユーピー　イタリアンドレッシング　１８０ｍｌ,ドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['ドレッシング', 'イタリアン', 'キユーピー', 'サラダ']",ダイエーネットスーパー,235.44,218.0,本体¥218.0 / 税込¥235.44,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/02/4901577073502_th.jpg,2025-12-27T21:01:24.559069+00:00
キユーピー　オリーブオイル＆オニオン　ドレッシング　１８０ｍｌ　,ドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['ドレッシング', 'オリーブオイル', 'オニオン', 'キユーピー']",ダイエーネットスーパー,267.84,248.0,本体¥248.0 / 税込¥267.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/20/4901577451720_th.jpg,2025-12-27T21:01:38.972739+00:00
キユーピー　キユーピーライト（８０％カロリーカット）　３１０ｇ,ドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['ドレッシング', 'カロリーカット', 'キユーピー', 'マヨネーズタイプ']",ダイエーネットスーパー,278.64,258.0,本体¥258.0 / 税込¥278.64,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/27/4901577067327_th.jpg,2025-12-27T21:01:17.184266+00:00
キユーピー　クリーミィ野菜ドレッシング（キャロット＆オニオン）　１８．．．,ドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['ドレッシング', '野菜', 'キャロット', 'オニオン', 'キユーピー']",ダイエーネットスーパー,267.84,248.0,本体¥248.0 / 税込¥267.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/34/4901577085734_th.jpg,2025-12-27T21:01:13.95383+00:00
キユーピー　コブサラダドレッシング　１８０ｍｌ,ドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['ドレッシング', 'サラダ', 'コブサラダ', 'キユーピー']",ダイエーネットスーパー,267.84,248.0,本体¥248.0 / 税込¥267.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/01/4901577073601_th.jpg,2025-12-27T21:01:26.595341+00:00
キユーピー　シーザーサラダドレッシング　１８０ｍｌ,ドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['シーザーサラダドレッシング', 'ドレッシング', 'サラダ', '調味料', 'キユーピー']",ダイエーネットスーパー,267.84,248.0,本体¥248.0 / 税込¥267.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/64/4901577073564_th.jpg,2025-12-27T21:01:26.21257+00:00
キユーピー　シーザーサラダドレッシング　３８０ｍｌ,ドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['ドレッシング', 'シーザー', 'サラダ', 'キユーピー', '調味料']",ダイエーネットスーパー,429.84,398.0,本体¥398.0 / 税込¥429.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/41/4901577073441_th.jpg,2025-12-27T21:01:23.659207+00:00
キユーピー　シーザーサラダドレッシング　６００ｍｌ,ドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['シーザーサラダドレッシング', 'ドレッシング', 'サラダ', 'キユーピー']",ダイエーネットスーパー,635.04,588.0,本体¥588.0 / 税込¥635.04,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/01/4901577092701_th.jpg,2025-12-27T21:01:37.949948+00:00
キユーピー　ジャネフ　ノンオイルドレッシング　減塩ごま　２００ｍｌ,ドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['ドレッシング', 'ノンオイル', '減塩', 'ごま', 'キユーピー']",ダイエーネットスーパー,235.44,218.0,本体¥218.0 / 税込¥235.44,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/16/4901577078316_th.jpg,2025-12-27T21:01:47.816194+00:00
キユーピー　ジャネフ　ノンオイルドレッシング　減塩和風　２００ｍｌ,ドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['ドレッシング', 'ノンオイル', '減塩', '和風', 'キユーピー']",ダイエーネットスーパー,235.44,218.0,本体¥218.0 / 税込¥235.44,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/23/4901577078323_th.jpg,2025-12-27T21:01:48.112213+00:00
キユーピー　テイスティドレッシング　シーザーサラダ　オリーブオイル入．．．,ドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['シーザーサラダ', 'ドレッシング', 'キユーピー', '調味料']",ダイエーネットスーパー,354.24,328.0,本体¥328.0 / 税込¥354.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/17/4901577033117_th.jpg,2025-12-27T21:01:22.221078+00:00
キユーピー　テイスティドレッシング　トマト＆ガーリック　２１０ｍｌ,ドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['ドレッシング', 'トマト', 'ガーリック', '調味料']",ダイエーネットスーパー,321.84,298.0,本体¥298.0 / 税込¥321.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/29/4901577088629_th.jpg,2025-12-27T21:01:14.319252+00:00
キユーピー　テイスティドレッシング　バジル＆チーズ　２１０ｍｌ,ドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['ドレッシング', 'バジル', 'チーズ', 'キユーピー', 'サラダ']",ダイエーネットスーパー,321.84,298.0,本体¥298.0 / 税込¥321.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/46/4901577019746_th.jpg,2025-12-27T21:01:21.858162+00:00
キユーピー　テイスティドレッシング　和風香味たまねぎ　２１０ｍｌ,ドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['ドレッシング', '和風', 'たまねぎ', 'キユーピー']",ダイエーネットスーパー,321.84,298.0,本体¥298.0 / 税込¥321.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/28/4901577080128_th.jpg,2025-12-27T21:01:27.244993+00:00
キユーピー　テイスティドレッシング　胡麻＆アーモンド　２１０ｍｌ　,ドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['ドレッシング', '胡麻', 'アーモンド', 'キユーピー']",ダイエーネットスーパー,354.24,328.0,本体¥328.0 / 税込¥354.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/48/4901577033148_th.jpg,2025-12-27T21:01:22.600603+00:00
キユーピー　テイスティドレッシング　黒酢たまねぎ　２１０ｍｌ,ドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['ドレッシング', '黒酢たまねぎ', 'キユーピー', '調味料']",ダイエーネットスーパー,321.84,298.0,本体¥298.0 / 税込¥321.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/58/4901577042058_th.jpg,2025-12-27T21:01:22.952785+00:00
キユーピー　ノンオイル　ごまと香味野菜　１８０ｍｌ,ドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['ノンオイル', 'ごま', '香味野菜', 'ドレッシング', 'キユーピー']",ダイエーネットスーパー,213.84,198.0,本体¥198.0 / 税込¥213.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/17/4901577073717_th.jpg,2025-12-27T21:01:43.879242+00:00
キユーピー　ノンオイル　和風ごま　３８０ｍｌ,ドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['ノンオイル', '和風ごま', 'ドレッシング', 'キユーピー', '調味料']",ダイエーネットスーパー,278.64,258.0,本体¥258.0 / 税込¥278.64,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/47/4901577073847_th.jpg,2025-12-27T21:01:44.226678+00:00
キユーピー　ハーフ　４００ｇ,ドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['キユーピー', 'ハーフ', 'マヨネーズタイプ', '調味料', 'ドレッシング']",ダイエーネットスーパー,354.24,328.0,本体¥328.0 / 税込¥354.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/83/4901577031083_th.jpg,2025-12-27T21:01:16.278161+00:00
キユーピー　フレンチドレッシング（白）　１８０ｍｌ,ドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['ドレッシング', 'フレンチドレッシング', '調味料', 'サラダ']",ダイエーネットスーパー,246.24,228.0,本体¥228.0 / 税込¥246.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/72/4901577073472_th.jpg,2025-12-27T21:01:24.158817+00:00
キユーピー　中華ドレッシング　１８０ｍｌ,ドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['中華ドレッシング', 'キユーピー', '調味料', 'ドレッシング']",ダイエーネットスーパー,235.44,218.0,本体¥218.0 / 税込¥235.44,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/33/4901577073533_th.jpg,2025-12-27T21:01:25.256207+00:00
キユーピー　深煎りごまドレッシング　カロリーハーフ　３８０ｍｌ,ドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['ドレッシング', 'ごま', 'カロリーハーフ', 'キユーピー']",ダイエーネットスーパー,462.24,428.0,本体¥428.0 / 税込¥462.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/37/4901577113437_th.jpg,2025-12-27T21:01:48.517101+00:00
キユーピー　深煎りごまドレッシング　柚子こしょう　１８０ｍｌ,ドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['ドレッシング', 'ごま', '柚子こしょう', '調味料']",ダイエーネットスーパー,267.84,248.0,本体¥248.0 / 税込¥267.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/57/4901577107757_th.jpg,2025-12-27T21:01:38.250569+00:00
キユーピー　深煎りごまドレッシング　１８０ｍｌ,ドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['ドレッシング', 'ごま', '調味料', 'キユーピー']",ダイエーネットスーパー,267.84,248.0,本体¥248.0 / 税込¥267.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/57/4901577073557_th.jpg,2025-12-27T21:01:25.92134+00:00
キユーピー　深煎りごまドレッシング　３８０ｍｌ,ドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['ドレッシング', 'ごま', 'サラダ', '調味料']",ダイエーネットスーパー,429.84,398.0,本体¥398.0 / 税込¥429.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/61/4901577046261_th.jpg,2025-12-27T21:01:23.277113+00:00
キユーピー　深煎りごまドレッシング　６００ｍｌ,ドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['ドレッシング', 'ごま', '調味料', 'キユーピー']",ダイエーネットスーパー,635.04,588.0,本体¥588.0 / 税込¥635.04,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/72/4901577088872_th.jpg,2025-12-27T21:01:14.702877+00:00
キユーピー　１０００アイランドドレッシング　１８０ｍｌ,ドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['ドレッシング', 'サラダ', '1000アイランド', 'キユーピー']",ダイエーネットスーパー,235.44,218.0,本体¥218.0 / 税込¥235.44,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/19/4901577073519_th.jpg,2025-12-27T21:01:24.924149+00:00
テーシーズ　和風たまねぎドレッシング　４８０ｍｌ,ドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['ドレッシング', 'たまねぎ', '和風', '調味料']",ダイエーネットスーパー,321.84,298.0,本体¥298.0 / 税込¥321.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/49/4549741197649_th.jpg,2025-12-27T21:01:06.522665+00:00
トップバリュ　カロリーハーフ１／２　ごまドレッシング　３８０ｍｌ,ごまドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['ドレッシング', 'ごま', 'カロリーハーフ', '調味料']",ダイエーネットスーパー,321.84,298.0,本体¥298.0 / 税込¥321.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/37/4549414231137_th.jpg,2025-12-27T21:01:05.082395+00:00
トップバリュ　カロリーハーフ１／２　シーザ―サラダドレッシング　３８．．．,シーザードレッシング,食料品,調味料,ドレッシング,ドレッシング,"['シーザー', 'サラダ', 'ドレッシング', 'カロリーハーフ']",ダイエーネットスーパー,321.84,298.0,本体¥298.0 / 税込¥321.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/44/4549414231144_th.jpg,2025-12-27T21:01:05.783077+00:00
トップバリュ　テーシーズ　焙煎ごまドレッシング　４８０ｍｌ,ドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['ドレッシング', 'ごま', '焙煎', '調味料']",ダイエーネットスーパー,321.84,298.0,本体¥298.0 / 税込¥321.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/95/4901810777495_th.jpg,2025-12-27T21:01:39.85234+00:00
トップバリュ　ベストプライス　うま塩ノンオイルドレッシング　１９０ｍ．．．,ドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['ドレッシング', 'ノンオイル', 'うま塩', '調味料']",ダイエーネットスーパー,192.24,178.0,本体¥178.0 / 税込¥192.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/30/4549414656930_th.jpg,2025-12-27T21:01:43.191883+00:00
トップバリュ　ベストプライス　ごまドレッシング　１９０ｍｌ,ごまドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['ドレッシング', 'ごま', '調味料', 'サラダ']",ダイエーネットスーパー,213.84,198.0,本体¥198.0 / 税込¥213.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/52/4902121287352_th.jpg,2025-12-27T21:01:40.215681+00:00
トップバリュ　ベストプライス　ごまドレツシング　３８０ｍｌ,ごまドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['ドレッシング', 'ごま', '調味料', 'サラダ']",ダイエーネットスーパー,300.24,278.0,本体¥278.0 / 税込¥300.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/69/4902121287369_th.jpg,2025-12-27T21:01:40.539779+00:00
トップバリュ　ベストプライス　イタリアンドレッシング　１９０ｍｌ,ドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['ドレッシング', 'イタリアン', '調味料', 'トップバリュ', 'サラダ']",ダイエーネットスーパー,213.84,198.0,本体¥198.0 / 税込¥213.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/16/4902121485116_th.jpg,2025-12-27T21:01:15.048647+00:00
トップバリュ　ベストプライス　シーザードレッシング　３８０ｍｌ,シーザードレッシング,食料品,調味料,ドレッシング,ドレッシング,"['ドレッシング', 'シーザー', '調味料', 'トップバリュ']",ダイエーネットスーパー,300.24,278.0,本体¥278.0 / 税込¥300.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/83/4902121287383_th.jpg,2025-12-27T21:01:40.931696+00:00
トップバリュ　ベストプライス　チョレギサラダドレッシング　１９０ｍｌ．．．,ドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['チョレギサラダ', 'ドレッシング', '韓国風', '調味料']",ダイエーネットスーパー,213.84,198.0,本体¥198.0 / 税込¥213.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/23/4549414656923_th.jpg,2025-12-27T21:01:06.232324+00:00
トップバリュ　ベストプライス　和風炒めたまねぎドレッシング　３８０ｍ．．．,ドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['ドレッシング', '和風', '炒めたまねぎ', '調味料']",ダイエーネットスーパー,300.24,278.0,本体¥278.0 / 税込¥300.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/48/4549741783248_th.jpg,2025-12-27T21:01:21.154786+00:00
トップバリュ　ベストプライス　青じそ　ノンオイル　１９０ｍｌ,ドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['ドレッシング', 'ノンオイル', '青じそ', '調味料']",ダイエーネットスーパー,149.04,138.0,本体¥138.0 / 税込¥149.04,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/90/4902121287390_th.jpg,2025-12-27T21:01:44.536497+00:00
トップバリュ　ベストプライス　青じそ　ノンオイル　３８０ｍｌ,ドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['ドレッシング', 'ノンオイル', '青じそ', '調味料']",ダイエーネットスーパー,257.04,238.0,本体¥238.0 / 税込¥257.04,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/06/4902121287406_th.jpg,2025-12-27T21:01:44.885146+00:00
トップバリュ　北海道産かぼちゃドレッシング　２００ｍｌ,ドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['ドレッシング', 'かぼちゃ', '調味料', '北海道産']",ダイエーネットスーパー,278.64,258.0,本体¥258.0 / 税込¥278.64,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/25/4549414689525_th.jpg,2025-12-27T21:01:20.061773+00:00
トップバリュ　愛知県製造八丁味噌使用　ドレッシング　２００ｍｌ,ドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['ドレッシング', '味噌', '調味料', '愛知県製造', '八丁味噌']",ダイエーネットスーパー,278.64,258.0,本体¥258.0 / 税込¥278.64,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/49/4549414689549_th.jpg,2025-12-27T21:01:20.461389+00:00
トップバリュ　静岡県焼津製造かつお節　和風ノンオイルドレッシング　２．．．,ドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['かつお節', 'ドレッシング', 'ノンオイル', '和風']",ダイエーネットスーパー,278.64,258.0,本体¥258.0 / 税込¥278.64,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/32/4549414689532_th.jpg,2025-12-27T21:01:43.517216+00:00
トップバリュ　鹿児島県製造壺造り黒酢使用　たまねぎドレッシング　２０．．．,ドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['ドレッシング', 'たまねぎ', '黒酢', '調味料', 'サラダ']",ダイエーネットスーパー,278.64,258.0,本体¥258.0 / 税込¥278.64,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/63/4549414689563_th.jpg,2025-12-27T21:01:20.809535+00:00
ピエトロ　タニタカフェ監修　ＰＡＴＦＵＴＴＥ（パットフッテ）　フライ．．．,ドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['ドレッシング', 'サラダ', 'ソース', 'ピエトロ', 'タニタカフェ']",ダイエーネットスーパー,505.44,468.0,本体¥468.0 / 税込¥505.44,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/39/4965009012439_th.jpg,2025-12-27T21:01:53.654822+00:00
ピエトロ　ドレッシング　グリーン　和風しょうゆ　２８０ｍｌ,ドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['ピエトロ', 'ドレッシング', '和風しょうゆ', '調味料']",ダイエーネットスーパー,483.84,448.0,本体¥448.0 / 税込¥483.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/06/4965009464306_th.jpg,2025-12-27T21:01:48.838867+00:00
ピエトロ　ドレッシング　和風しょうが　２８０ｍｌ,ドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['ドレッシング', '和風', 'しょうが', 'ピエトロ']",ダイエーネットスーパー,480.6,445.0,本体¥445.0 / 税込¥480.6,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/91/4965009013191_th.jpg,2025-12-27T21:01:42.466532+00:00
ピエトロ　ドレッシング　和風しょうゆ　２８０ｍｌ,ドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['ピエトロ', 'ドレッシング', '和風しょうゆ', '調味料']",ダイエーネットスーパー,483.84,448.0,本体¥448.0 / 税込¥483.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/08/4965009167108_th.jpg,2025-12-27T21:01:42.79312+00:00
ユウキ食品　マコーミック　フレンチドレッシング　１５０ｍｌ,ドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['フレンチドレッシング', 'ユウキ食品', '調味料', 'サラダ', '150ml']",ダイエーネットスーパー,170.64,158.0,本体¥158.0 / 税込¥170.64,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/27/4903024252027_th.jpg,2025-12-27T21:01:41.349985+00:00
叙々苑　野菜サラダのたれ　ごま風味　３００ｍｌ,サラダドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['サラダ', 'ドレッシング', 'たれ', 'ごま風味', '叙々苑']",ダイエーネットスーパー,689.04,638.0,本体¥638.0 / 税込¥689.04,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/36/4939298210036_th.jpg,2025-12-27T21:01:42.143119+00:00
理研ビタミン　リケンのノンオイル　くせになるうま塩　３８０ｍｌ,ドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['ノンオイル', 'ドレッシング', 'うま塩', '理研ビタミン']",ダイエーネットスーパー,354.24,328.0,本体¥328.0 / 税込¥354.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/20/4903307657020_th.jpg,2025-12-27T21:01:45.240456+00:00
理研ビタミン　リケンのノンオイル　青じそ　１９０ｍｌ,ノンオイル青じそドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['ノンオイル', '青じそ', 'ドレッシング', '調味料', 'リケン']",ダイエーネットスーパー,224.64,208.0,本体¥208.0 / 税込¥224.64,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/49/4903307657549_th.jpg,2025-12-27T21:01:45.878797+00:00
理研ビタミン　リケンのノンオイル　青じそ　３８０ｍｌ,ドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['ノンオイル', '青じそ', 'ドレッシング', 'リケン', '調味料']",ダイエーネットスーパー,354.24,328.0,本体¥328.0 / 税込¥354.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/86/4903307657686_th.jpg,2025-12-27T21:01:47.526641+00:00
理研ビタミン　洋食屋さんのただただおいしいドレッシング　１９０ｍｌ,ドレッシング,食料品,調味料,ドレッシング,ドレッシング,"['ドレッシング', '調味料', '洋食', '理研ビタミン']",ダイエーネットスーパー,321.84,298.0,本体¥298.0 / 税込¥321.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/48/4903307731348_th.jpg,2025-12-27T21:01:41.672313+00:00
ミツカン　白ワインビネガー　１５０ｍｌ,白ワインビネガー,食料品,調味料,ビネガー,ビネガー,"['ビネガー', '調味料', '白ワイン', 'ミツカン']",ダイエーネットスーパー,321.84,298.0,本体¥298.0 / 税込¥321.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/06/0000049685206_th.jpg,2025-12-27T20:59:46.054771+00:00
ネスレ日本　マギーブイヨン　キューブ　２０個入,ブイヨン,食料品,調味料,ブイヨン・コンソメ,ブイヨン・コンソメ,"['ブイヨン', 'コンソメ', 'キューブ', '調味料', 'ネスレ']",ダイエーネットスーパー,278.64,258.0,本体¥258.0 / 税込¥278.64,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/79/4902201440479_th.jpg,2025-12-27T21:07:11.38529+00:00
ネスレ日本　マギーブイヨン　香料・着色料無添加　アレルギー２８品目不．．．,ブイヨン,食料品,調味料,ブイヨン・コンソメ,ブイヨン・コンソメ,"['ブイヨン', 'コンソメ', '調味料', 'ネスレ', 'マギー']",ダイエーネットスーパー,246.24,228.0,本体¥228.0 / 税込¥246.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/09/4902201440509_th.jpg,2025-12-27T21:07:11.702069+00:00
ミツカン　味ポン　マイルド　３６０ｍｌ,ポン酢,食料品,調味料,ポン酢,ポン酢,"['ポン酢', '味ポン', 'マイルド', 'ミツカン', '調味料']",ダイエーネットスーパー,246.24,228.0,本体¥228.0 / 税込¥246.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/76/4902106541776_th.jpg,2025-12-27T21:06:24.767098+00:00
ミツカン　かおりの蔵　丸搾りゆず　３６０ｍｌ,ポン酢,食料品,調味料,ポン酢・たれ,ポン酢・たれ,"['ゆず', 'ポン酢', '調味料', 'ミツカン']",ダイエーネットスーパー,494.64,458.0,本体¥458.0 / 税込¥494.64,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/71/4902106564171_th.jpg,2025-12-27T21:06:25.817441+00:00
オットギ　ハニーマスタード　２６５ｇ,マスタード,食料品,調味料,マスタード,マスタード,"['ハニーマスタード', '調味料', 'マスタード', 'ソース']",ダイエーネットスーパー,537.84,498.0,本体¥498.0 / 税込¥537.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/18/4562104353018_th.jpg,2025-12-27T21:01:19.264956+00:00
キユーピー　あらびきマスタード　５０ｇ,マスタード,食料品,調味料,マスタード,マスタード,"['マスタード', '調味料', 'キユーピー', 'ソース']",ダイエーネットスーパー,181.44,168.0,本体¥168.0 / 税込¥181.44,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/35/4901577092435_th.jpg,2025-12-27T21:02:38.134397+00:00
キユーピー　あらびきマスタード　９０ｇ,マスタード,食料品,調味料,マスタード,マスタード,"['マスタード', '調味料', 'ソース', 'キユーピー', 'あらびき']",ダイエーネットスーパー,267.84,248.0,本体¥248.0 / 税込¥267.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/44/0000045218644_th.jpg,2025-12-27T21:02:27.403043+00:00
Ｓ＆Ｂ　マイユ　種入りマスタード　１０３ｇ,マスタード,食料品,調味料,マスタード,マスタード,"['マスタード', '調味料', '種入り', 'Ｓ＆Ｂ', 'マイユ']",ダイエーネットスーパー,300.24,278.0,本体¥278.0 / 税込¥300.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/16/0000030547216_th.jpg,2025-12-27T21:02:01.454447+00:00
Ｓ＆Ｂ　マスタード　スクイズパック　１５０ｇ,マスタード,食料品,調味料,マスタード,マスタード,"['マスタード', '調味料', '香辛料', 'S&B', 'スクイズパック']",ダイエーネットスーパー,232.2,215.0,本体¥215.0 / 税込¥232.2,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/96/0000045067396_th.jpg,2025-12-27T21:02:01.872427+00:00
キユーピー　からしマヨネーズ　２００ｇ,マヨネーズ,食料品,調味料,マヨネーズ,マヨネーズ,"['からしマヨネーズ', 'キユーピー', '調味料', 'マヨネーズ']",ダイエーネットスーパー,300.24,278.0,本体¥278.0 / 税込¥300.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/79/4901577338779_th.jpg,2025-12-27T21:01:19.572952+00:00
キユーピー　アマニ油マヨネーズ　２００ｇ（機能性表示食品）,マヨネーズ,食料品,調味料,マヨネーズ,マヨネーズ,"['マヨネーズ', 'アマニ油', '機能性表示食品', '調味料', 'キユーピー']",ダイエーネットスーパー,397.44,368.0,本体¥368.0 / 税込¥397.44,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/52/4901577060052_th.jpg,2025-12-27T21:01:16.592602+00:00
