カテゴリー名,大分類,中分類,小分類,商品数,作成日時
食料品>パン・スイーツ>食パン,食料品,パン・スイーツ,食パン,33,2025-12-29T05:22:08.147763
食料品>パン・菓子>パン,食料品,パン・菓子,パン,1,2025-12-30T01:05:51.581294
食料品>パン・菓子>惣菜パン,食料品,パン・菓子,惣菜パン,1,2025-12-30T02:04:38.089907
食料品>パン・菓子>菓子パン,食料品,パン・菓子,菓子パン,3,2025-12-30T01:56:16.799152
食料品>パン・麺類>パン,食料品,パン・麺類,パン,0,2025-12-29T20:55:49.17199
食料品>パン・麺類>ピザ,食料品,パン・麺類,ピザ,1,2025-12-29T21:10:14.48428
食料品>レトルト・惣菜>ソース・ルー,食料品,レトルト・惣菜,ソース・ルー,0,2025-12-29T21:06:44.174466
食料品>レトルト・惣菜>ハンバーグ,食料品,レトルト・惣菜,ハンバーグ,0,2025-12-29T21:06:35.561748
食料品>レトルト食品>レトルトごはん,食料品,レトルト食品,レトルトごはん,2,2025-12-29T20:50:32.975727
食料品>レトルト食品>レトルトカレー,食料品,レトルト食品,レトルトカレー,1,2025-12-29T20:52:44.723916
食料品>中華惣菜・点心>中華惣菜,食料品,中華惣菜・点心,中華惣菜,1,2025-12-29T20:51:39.497378
食料品>中華惣菜・点心>焼売,食料品,中華惣菜・点心,焼売,0,2025-12-29T20:54:47.000283
食料品>中華調味料>中華合わせ調味料,食料品,中華調味料,中華合わせ調味料,1,2025-12-29T20:47:26.962315
食料品>乳・卵・大豆製品>チーズ,食料品,乳・卵・大豆製品,チーズ,1,2025-12-29T22:47:49.224213
食料品>乳幼児向け食品>ベビーフード,食料品,乳幼児向け食品,ベビーフード,1,2025-12-29T22:46:35.179167
食料品>乳製品>その他乳製品,食料品,乳製品,その他乳製品,1,2025-12-30T01:11:12.361251
食料品>乳製品>クリーム,食料品,乳製品,クリーム,1,2025-12-29T22:46:28.160358
食料品>乳製品>ソーセージ,食料品,乳製品,ソーセージ,10,2025-12-29T05:22:07.64714
食料品>乳製品>チーズ,食料品,乳製品,チーズ,83,2025-12-29T04:58:21.010952
食料品>乳製品>バター,食料品,乳製品,バター,1,2025-12-30T01:06:59.69517
食料品>乳製品>ホイップクリーム,食料品,乳製品,ホイップクリーム,7,2025-12-29T05:22:07.735562
食料品>乳製品>ヨーグルト,食料品,乳製品,ヨーグルト,104,2025-12-29T21:15:46.345615
食料品>乳製品>乳製品,食料品,乳製品,乳製品,14,2025-12-29T05:22:07.815185
食料品>乳製品>牛乳,食料品,乳製品,牛乳,9,2025-12-29T22:38:02.155421
食料品>乳製品>生クリーム,食料品,乳製品,生クリーム,2,2025-12-29T21:56:26.016081
食料品>乳製品・チーズ>チーズ,食料品,乳製品・チーズ,チーズ,1,2025-12-30T01:10:53.822379
食料品>乳製品・デザート>デザート,食料品,乳製品・デザート,デザート,1,2025-12-30T01:58:50.512573
食料品>乳製品・デザート>ヨーグルト,食料品,乳製品・デザート,ヨーグルト,3,2025-12-30T01:07:29.276231
食料品>乳製品・卵>チーズ,食料品,乳製品・卵,チーズ,111,2025-12-29T21:02:28.511126
食料品>乳製品・卵>バター,食料品,乳製品・卵,バター,7,2025-12-29T22:26:42.95847
食料品>乳製品・卵>バター・マーガリン,食料品,乳製品・卵,バター・マーガリン,16,2025-12-29T22:26:55.303035
食料品>乳製品・卵>マーガリン,食料品,乳製品・卵,マーガリン,1,2025-12-30T01:10:14.252051
食料品>乳製品・卵>マーガリン・ファットスプレッド,食料品,乳製品・卵,マーガリン・ファットスプレッド,3,2025-12-29T22:50:44.869243
食料品>乳製品・卵>ヨーグルト,食料品,乳製品・卵,ヨーグルト,139,2025-12-29T22:22:41.095584
食料品>乳製品・卵>牛乳,食料品,乳製品・卵,牛乳,1,2025-12-30T01:09:15.126286
食料品>乳製品・卵>生クリーム,食料品,乳製品・卵,生クリーム,3,2025-12-29T22:38:25.881667
食料品>乳製品・卵>生クリーム・バター,食料品,乳製品・卵,生クリーム・バター,1,2025-12-29T22:43:14.327129
食料品>乳製品・卵・チーズ>チーズ,食料品,乳製品・卵・チーズ,チーズ,2,2025-12-29T22:44:34.556772
食料品>乳製品・卵・加工品>チーズ,食料品,乳製品・卵・加工品,チーズ,1,2025-12-29T22:51:12.348428
食料品>乳製品・卵・加工肉>チーズ,食料品,乳製品・卵・加工肉,チーズ,1,2025-12-29T22:40:26.088542
食料品>乳製品・卵・大豆製品>チーズ,食料品,乳製品・卵・大豆製品,チーズ,34,2025-12-29T22:27:01.100074
食料品>乳製品・卵・大豆製品>バター,食料品,乳製品・卵・大豆製品,バター,1,2025-12-29T22:39:16.398869
食料品>乳製品・卵・大豆製品>バター・マーガリン,食料品,乳製品・卵・大豆製品,バター・マーガリン,2,2025-12-29T22:39:18.435671
食料品>乳製品・卵・大豆製品>マーガリン・ファットスプレッド,食料品,乳製品・卵・大豆製品,マーガリン・ファットスプレッド,3,2025-12-29T22:51:06.014365
食料品>乳製品・卵・大豆製品>ヨーグルト,食料品,乳製品・卵・大豆製品,ヨーグルト,39,2025-12-29T22:25:23.222065
食料品>乳製品・卵・大豆製品>生クリーム・ホイップ,食料品,乳製品・卵・大豆製品,生クリーム・ホイップ,1,2025-12-30T01:57:57.70377
食料品>乳製品・卵・豆腐>チーズ,食料品,乳製品・卵・豆腐,チーズ,3,2025-12-29T22:37:15.231059
食料品>乳製品・卵・豆腐>ヨーグルト,食料品,乳製品・卵・豆腐,ヨーグルト,2,2025-12-29T22:41:26.900114
食料品>乳製品・大豆製品>ヨーグルト,食料品,乳製品・大豆製品,ヨーグルト,1,2025-12-30T01:06:12.170433
食料品>乳製品・飲料>ヨーグルト,食料品,乳製品・飲料,ヨーグルト,1,2025-12-29T22:44:10.631189
食料品>乾物>きのこ類,食料品,乾物,きのこ類,1,2025-12-29T20:47:46.9414
食料品>乾物>海藻類,食料品,乾物,海藻類,0,2025-12-29T20:55:47.085444
食料品>乾物・乾燥野菜>海苔,食料品,乾物・乾燥野菜,海苔,0,2025-12-29T21:01:21.564195
食料品>乾物・乾麺>その他乾物,食料品,乾物・乾麺,その他乾物,0,2025-12-29T20:57:39.112392
食料品>乾物・乾麺>海藻類,食料品,乾物・乾麺,海藻類,0,2025-12-29T20:55:55.66908
食料品>乾物・海産物>海苔,食料品,乾物・海産物,海苔,1,2025-12-29T22:12:48.076364
食料品>冷凍食品>冷凍ピザ,食料品,冷凍食品,冷凍ピザ,3,2025-12-29T21:15:16.19848
食料品>冷凍食品>冷凍惣菜,食料品,冷凍食品,冷凍惣菜,0,2025-12-29T20:54:38.991612
食料品>冷凍食品>冷凍調理品,食料品,冷凍食品,冷凍調理品,0,2025-12-29T20:54:41.249933
食料品>加工肉>ソーセージ,食料品,加工肉,ソーセージ,1,2025-12-29T22:48:20.882261
食料品>加工肉>ハム・ソーセージ,食料品,加工肉,ハム・ソーセージ,4,2025-12-29T22:39:02.376543
食料品>加工肉>ベーコン,食料品,加工肉,ベーコン,2,2025-12-29T22:42:20.912979
食料品>加工肉・ソーセージ>ソーセージ,食料品,加工肉・ソーセージ,ソーセージ,1,2025-12-30T01:58:44.812048
食料品>加工肉・ソーセージ>ベーコン・パンチェッタ,食料品,加工肉・ソーセージ,ベーコン・パンチェッタ,1,2025-12-29T22:43:38.02962
食料品>加工肉・ソーセージ>生ハム・サラミ,食料品,加工肉・ソーセージ,生ハム・サラミ,1,2025-12-30T01:59:57.881212
食料品>加工肉・ハム>ソーセージ・ウインナー,食料品,加工肉・ハム,ソーセージ・ウインナー,1,2025-12-30T01:58:36.515929
食料品>加工肉・ハム>ベーコン,食料品,加工肉・ハム,ベーコン,2,2025-12-29T22:25:31.358422
食料品>加工肉・ハム>生ハム,食料品,加工肉・ハム,生ハム,1,2025-12-30T01:59:45.401561
食料品>加工肉・ハム・ソーセージ>ソーセージ,食料品,加工肉・ハム・ソーセージ,ソーセージ,1,2025-12-29T22:48:27.128336
食料品>加工肉・ハム・ソーセージ>ハム,食料品,加工肉・ハム・ソーセージ,ハム,1,2025-12-29T22:39:04.509559
食料品>加工肉・ハム・ソーセージ>生ハム・サラミ,食料品,加工肉・ハム・ソーセージ,生ハム・サラミ,2,2025-12-29T22:26:15.235482
食料品>加工肉製品>ソーセージ・ウインナー,食料品,加工肉製品,ソーセージ・ウインナー,1,2025-12-29T22:40:56.758539
食料品>加工肉類>ハム・ソーセージ類,食料品,加工肉類,ハム・ソーセージ類,1,2025-12-29T20:45:50.470158
食料品>加工食品>その他加工食品,食料品,加工食品,その他加工食品,1,2025-12-29T21:16:58.005114
食料品>加工食品>ソーセージ,食料品,加工食品,ソーセージ,1,2025-12-30T01:05:57.741915
食料品>加工食品>ソーセージ・ハム,食料品,加工食品,ソーセージ・ハム,9,2025-12-29T22:39:41.91173
食料品>加工食品>ハム・ソーセージ,食料品,加工食品,ハム・ソーセージ,14,2025-12-29T22:25:21.134931
食料品>加工食品>ハム・ソーセージ・ベーコン,食料品,加工食品,ハム・ソーセージ・ベーコン,1,2025-12-29T22:41:54.592274
食料品>加工食品>ベーコン・ハム,食料品,加工食品,ベーコン・ハム,1,2025-12-29T22:43:45.162113
食料品>加工食品>惣菜,食料品,加工食品,惣菜,1,2025-12-29T22:49:44.019902
食料品>加工食品>米飯加工品,食料品,加工食品,米飯加工品,1,2025-12-29T20:50:42.152923
食料品>即席麺・インスタント食品>カップ麺・インスタントスープ,食料品,即席麺・インスタント食品,カップ麺・インスタントスープ,1,2025-12-29T22:07:49.452804
食料品>卵>卵加工品,食料品,卵,卵加工品,1,2025-12-29T20:45:44.954534
食料品>卵>鶏卵,食料品,卵,鶏卵,5,2025-12-29T20:45:37.120907
食料品>卵・乳製品>鶏卵,食料品,卵・乳製品,鶏卵,5,2025-12-29T22:25:49.891916
食料品>卵・乳製品・ハム>鶏卵,食料品,卵・乳製品・ハム,鶏卵,1,2025-12-29T22:26:05.647939
食料品>卵・大豆製品>卵加工品,食料品,卵・大豆製品,卵加工品,2,2025-12-29T22:45:59.957909
食料品>味噌>味噌,食料品,味噌,味噌,2,2025-12-29T20:51:13.527351
食料品>味噌>米味噌,食料品,味噌,米味噌,0,2025-12-29T21:07:59.806356
食料品>味噌・たれ>味噌,食料品,味噌・たれ,味噌,0,2025-12-29T21:07:37.711981
食料品>味噌・醤油>味噌,食料品,味噌・醤油,味噌,0,2025-12-29T21:08:21.275336
食料品>和菓子>その他和菓子,食料品,和菓子,その他和菓子,3,2025-12-29T20:58:04.788177
食料品>和菓子>わらび餅,食料品,和菓子,わらび餅,0,2025-12-29T20:55:26.411736
食料品>和食材>おせち料理,食料品,和食材,おせち料理,13,2025-12-29T05:22:12.089139
食料品>和食材>おでん用品,食料品,和食材,おでん用品,12,2025-12-29T05:22:12.798967
食料品>和食材>お惣菜,食料品,和食材,お惣菜,13,2025-12-29T05:22:11.705616
食料品>和食材>かまぼこ,食料品,和食材,かまぼこ,27,2025-12-29T05:22:12.004381
食料品>和食材>こんにゃく,食料品,和食材,こんにゃく,12,2025-12-29T05:22:12.594188
食料品>和食材>さつま揚げ,食料品,和食材,さつま揚げ,6,2025-12-29T05:22:12.374327
食料品>和食材>しらたき,食料品,和食材,しらたき,10,2025-12-29T05:22:12.16936
食料品>和食材>たくあん,食料品,和食材,たくあん,5,2025-12-29T05:22:13.086971
食料品>和食材>ちくわ,食料品,和食材,ちくわ,12,2025-12-29T05:22:12.658984
食料品>和食材>つゆ類,食料品,和食材,つゆ類,15,2025-12-29T05:22:11.843747
食料品>和食材>にんにく製品,食料品,和食材,にんにく製品,7,2025-12-29T05:22:12.877815
食料品>和食材>みりん,食料品,和食材,みりん,9,2025-12-29T05:22:13.167166
食料品>和食材>めんつゆ,食料品,和食材,めんつゆ,5,2025-12-29T05:22:12.445798
食料品>和食材>らっきょう,食料品,和食材,らっきょう,12,2025-12-29T05:22:11.780285
食料品>和食材>わさび類,食料品,和食材,わさび類,11,2025-12-29T05:22:12.238754
食料品>和食材>キムチ,食料品,和食材,キムチ,32,2025-12-29T05:22:11.637369
食料品>和食材>和風食品,食料品,和食材,和風食品,16,2025-12-29T05:22:13.231426
食料品>和食材>寿司材料,食料品,和食材,寿司材料,6,2025-12-29T05:22:13.01769
食料品>和食材>惣菜,食料品,和食材,惣菜,79,2025-12-29T05:22:12.525041
食料品>和食材>春雨料理,食料品,和食材,春雨料理,13,2025-12-29T05:22:12.949335
食料品>和食材>梅干し,食料品,和食材,梅干し,28,2025-12-29T05:22:11.923873
食料品>和食材>海藻類,食料品,和食材,海藻類,5,2025-12-29T05:22:13.299129
食料品>和食材>漬物,食料品,和食材,漬物,11,2025-12-29T05:22:12.723123
食料品>和食材>調味料,食料品,和食材,調味料,17,2025-12-29T05:22:12.306778
食料品>大豆加工品>納豆,食料品,大豆加工品,納豆,0,2025-12-29T20:53:32.782857
食料品>大豆加工品>豆乳,食料品,大豆加工品,豆乳,1,2025-12-29T21:08:44.352883
食料品>大豆加工品>豆腐,食料品,大豆加工品,豆腐,0,2025-12-29T21:05:40.222626
食料品>大豆製品>その他大豆製品,食料品,大豆製品,その他大豆製品,1,2025-12-29T22:08:22.351849
食料品>大豆製品>納豆,食料品,大豆製品,納豆,1,2025-12-29T21:16:16.017234
食料品>大豆製品>豆腐,食料品,大豆製品,豆腐,1,2025-12-29T21:18:54.635699
食料品>惣菜>おでん,食料品,惣菜,おでん,1,2025-12-29T20:49:04.343762
食料品>惣菜>がんもどき,食料品,惣菜,がんもどき,0,2025-12-29T20:59:09.738809
食料品>惣菜>その他惣菜,食料品,惣菜,その他惣菜,0,2025-12-29T20:58:26.051135
食料品>惣菜>つくだ煮,食料品,惣菜,つくだ煮,15,2025-12-29T05:22:15.518434
食料品>惣菜>キムチ,食料品,惣菜,キムチ,0,2025-12-29T20:59:33.128018
食料品>惣菜>サラダ,食料品,惣菜,サラダ,16,2025-12-29T05:22:15.216971
食料品>惣菜>ハヤシライス,食料品,惣菜,ハヤシライス,8,2025-12-29T05:22:15.598947
食料品>惣菜>ピザ,食料品,惣菜,ピザ,0,2025-12-29T20:59:45.316831
食料品>惣菜>乾燥野菜,食料品,惣菜,乾燥野菜,6,2025-12-29T05:22:15.432323
食料品>惣菜>卵・ハム類,食料品,惣菜,卵・ハム類,24,2025-12-29T05:22:15.0624
食料品>惣菜>卵製品,食料品,惣菜,卵製品,6,2025-12-29T05:22:11.433818
食料品>惣菜>和え物・おひたし,食料品,惣菜,和え物・おひたし,0,2025-12-29T20:54:19.681484
食料品>惣菜>和風惣菜,食料品,惣菜,和風惣菜,0,2025-12-29T20:53:28.546234
食料品>惣菜>惣菜>和惣菜,食料品,惣菜,惣菜>和惣菜,1,2025-12-29T20:49:12.69154
食料品>惣菜>漬物,食料品,惣菜,漬物,56,2025-12-29T05:22:11.25226
食料品>惣菜>漬物・惣菜,食料品,惣菜,漬物・惣菜,0,2025-12-29T20:57:29.799901
食料品>惣菜>点心・中華まん,食料品,惣菜,点心・中華まん,0,2025-12-29T20:54:59.171819
食料品>惣菜>焼肉のたれ,食料品,惣菜,焼肉のたれ,38,2025-12-29T05:22:14.973299
食料品>惣菜>練り製品,食料品,惣菜,練り製品,15,2025-12-29T05:22:15.134152
食料品>惣菜>肉加工品,食料品,惣菜,肉加工品,16,2025-12-29T05:22:15.363052
食料品>惣菜>茶碗蒸し,食料品,惣菜,茶碗蒸し,12,2025-12-29T05:22:11.56517
食料品>惣菜>豆腐・惣菜,食料品,惣菜,豆腐・惣菜,1,2025-12-29T21:13:11.408707
食料品>惣菜>野菜加工品,食料品,惣菜,野菜加工品,9,2025-12-29T05:22:15.658921
食料品>惣菜>鍋つゆ,食料品,惣菜,鍋つゆ,26,2025-12-29T05:22:11.367617
食料品>惣菜>鶏スープ,食料品,惣菜,鶏スープ,7,2025-12-29T05:22:15.739759
食料品>惣菜>麺類,食料品,惣菜,麺類,22,2025-12-29T05:22:15.293107
食料品>惣菜パン>お惣菜,食料品,惣菜パン,お惣菜,36,2025-12-29T05:22:16.378978
食料品>惣菜パン>サンドイッチパン,食料品,惣菜パン,サンドイッチパン,12,2025-12-29T05:22:16.445181
食料品>惣菜・お惣菜>その他惣菜,食料品,惣菜・お惣菜,その他惣菜,1,2025-12-29T20:52:46.686877
食料品>惣菜・お惣菜>和え物・おひたし,食料品,惣菜・お惣菜,和え物・おひたし,0,2025-12-29T20:54:14.101998
食料品>惣菜・お惣菜>和惣菜,食料品,惣菜・お惣菜,和惣菜,0,2025-12-29T20:56:21.604877
食料品>惣菜・お惣菜>豆腐・惣菜,食料品,惣菜・お惣菜,豆腐・惣菜,0,2025-12-29T21:00:18.97786
食料品>惣菜・デリ>チーズ,食料品,惣菜・デリ,チーズ,1,2025-12-30T01:10:36.64104
食料品>惣菜・デリ>和風惣菜,食料品,惣菜・デリ,和風惣菜,0,2025-12-29T20:53:30.795486
食料品>惣菜・ミールキット>ミールキット,食料品,惣菜・ミールキット,ミールキット,1,2025-12-29T20:47:29.217884
食料品>惣菜・レトルト>和風惣菜,食料品,惣菜・レトルト,和風惣菜,0,2025-12-29T20:53:45.131451
食料品>惣菜・弁当>おでん,食料品,惣菜・弁当,おでん,1,2025-12-29T20:48:57.057787
食料品>惣菜・弁当>スープ,食料品,惣菜・弁当,スープ,1,2025-12-29T21:06:49.578166
食料品>惣菜・弁当>ピザ,食料品,惣菜・弁当,ピザ,1,2025-12-29T21:16:33.776374
食料品>惣菜・弁当>中華まん,食料品,惣菜・弁当,中華まん,2,2025-12-29T20:48:38.851133
食料品>惣菜・弁当>惣菜,食料品,惣菜・弁当,惣菜,3,2025-12-29T20:50:44.278068
食料品>惣菜・弁当>惣菜・弁当>惣菜,食料品,惣菜・弁当,惣菜・弁当>惣菜,1,2025-12-29T20:49:06.777005
食料品>惣菜・弁当>鍋物,食料品,惣菜・弁当,鍋物,1,2025-12-29T20:49:14.679118
食料品>惣菜・弁当>魚介惣菜,食料品,惣菜・弁当,魚介惣菜,0,2025-12-29T20:55:42.95837
食料品>惣菜・惣菜の素>惣菜の素,食料品,惣菜・惣菜の素,惣菜の素,2,2025-12-29T20:49:57.905366
食料品>果物>柑橘類,食料品,果物,柑橘類,1,2025-12-29T21:20:20.876181
食料品>果物>缶詰,食料品,果物,缶詰,1,2025-12-29T21:20:33.823858
食料品>果物>缶詰・瓶詰,食料品,果物,缶詰・瓶詰,0,2025-12-29T21:07:32.315074
食料品>果物・フルーツ>缶詰・瓶詰,食料品,果物・フルーツ,缶詰・瓶詰,0,2025-12-29T21:07:10.589583
食料品>油・オイル>植物油,食料品,油・オイル,植物油,2,2025-12-29T21:59:48.884973
食料品>油・オイル>食用油,食料品,油・オイル,食用油,2,2025-12-29T21:59:00.630874
食料品>油・ドレッシング>オリーブオイル,食料品,油・ドレッシング,オリーブオイル,1,2025-12-29T21:59:34.706274
食料品>油・調味料>食用油,食料品,油・調味料,食用油,6,2025-12-29T21:19:37.224996
食料品>油脂・オイル>ごま油,食料品,油脂・オイル,ごま油,1,2025-12-29T21:59:22.801459
食料品>油脂・オイル>オリーブオイル,食料品,油脂・オイル,オリーブオイル,1,2025-12-29T21:59:28.59296
食料品>油脂・オイル>サラダ油,食料品,油脂・オイル,サラダ油,1,2025-12-29T21:58:57.251917
食料品>油脂・オイル>植物油,食料品,油脂・オイル,植物油,1,2025-12-29T22:00:02.359999
食料品>油脂・オイル>食用油,食料品,油脂・オイル,食用油,1,2025-12-29T21:58:52.955376
食料品>油脂・油>食用油,食料品,油脂・油,食用油,1,2025-12-29T21:59:11.203651
食料品>油脂類>揚げ豆腐,食料品,油脂類,揚げ豆腐,18,2025-12-29T05:22:17.021399
食料品>油脂類>油揚げ,食料品,油脂類,油揚げ,17,2025-12-29T05:22:16.855688
食料品>油脂類>醤油,食料品,油脂類,醤油,0,2025-12-29T05:22:16.792251
食料品>油脂類>食用油,食料品,油脂類,食用油,18,2025-12-29T05:22:16.928079
食料品>漬物>きゅうりの漬物,食料品,漬物,きゅうりの漬物,0,2025-12-29T21:00:45.515619
食料品>漬物>その他漬物,食料品,漬物,その他漬物,6,2025-12-29T21:02:01.719835
食料品>漬物>たくあん,食料品,漬物,たくあん,5,2025-12-29T20:54:23.263795
食料品>漬物>キムチ,食料品,漬物,キムチ,0,2025-12-29T20:54:52.718871
食料品>漬物>京漬物,食料品,漬物,京漬物,1,2025-12-29T21:01:00.417388
食料品>漬物>梅干し,食料品,漬物,梅干し,0,2025-12-29T20:57:52.902293
食料品>漬物>浅漬,食料品,漬物,浅漬,0,2025-12-29T20:56:59.64916
食料品>漬物>漬物,食料品,漬物,漬物,1,2025-12-29T21:13:40.320453
食料品>漬物>白菜漬,食料品,漬物,白菜漬,1,2025-12-29T21:07:04.409741
食料品>漬物>福神漬,食料品,漬物,福神漬,7,2025-12-29T05:22:00.890014
食料品>漬物>野菜漬,食料品,漬物,野菜漬,1,2025-12-29T20:54:11.862597
食料品>漬物>野菜漬物,食料品,漬物,野菜漬物,10,2025-12-29T20:55:01.05645
食料品>漬物・キムチ>その他漬物,食料品,漬物・キムチ,その他漬物,0,2025-12-29T21:01:04.695232
食料品>漬物・佃煮>梅干し,食料品,漬物・佃煮,梅干し,9,2025-12-29T20:47:57.584804
食料品>漬物・佃煮>漬物,食料品,漬物・佃煮,漬物,2,2025-12-29T21:09:00.242165
食料品>漬物・佃煮・惣菜>漬物,食料品,漬物・佃煮・惣菜,漬物,1,2025-12-29T21:10:54.020236
食料品>漬物・惣菜>キムチ,食料品,漬物・惣菜,キムチ,0,2025-12-29T20:54:15.584864
食料品>漬物・惣菜>キムチ・漬物,食料品,漬物・惣菜,キムチ・漬物,0,2025-12-29T20:55:20.464573
食料品>漬物・惣菜>梅干し,食料品,漬物・惣菜,梅干し,5,2025-12-29T20:48:05.258718
食料品>漬物・惣菜>漬物,食料品,漬物・惣菜,漬物,9,2025-12-29T20:54:09.905858
食料品>漬物・梅干>梅干,食料品,漬物・梅干,梅干,2,2025-12-29T21:14:53.329623
食料品>漬物・梅干し>梅干し,食料品,漬物・梅干し,梅干し,4,2025-12-29T20:46:29.717578
食料品>漬物・漬物用>漬物,食料品,漬物・漬物用,漬物,1,2025-12-29T21:08:56.424482
食料品>漬物・漬菜>漬物,食料品,漬物・漬菜,漬物,1,2025-12-29T21:08:09.739905
食料品>牛乳>牛乳,食料品,牛乳,牛乳,4,2025-12-30T01:08:03.105021
食料品>牛乳・乳飲料>低脂肪乳,食料品,牛乳・乳飲料,低脂肪乳,2,2025-12-30T01:08:18.505772
食料品>牛乳・乳飲料>牛乳,食料品,牛乳・乳飲料,牛乳,4,2025-12-29T22:39:22.411346
食料品>発酵食品>乳酸菌飲料,食料品,発酵食品,乳酸菌飲料,9,2025-12-29T05:22:16.082697
食料品>発酵食品>牛乳,食料品,発酵食品,牛乳,17,2025-12-29T05:22:16.235844
食料品>発酵食品>納豆,食料品,発酵食品,納豆,22,2025-12-29T05:22:16.007687
食料品>発酵食品>豆乳,食料品,発酵食品,豆乳,14,2025-12-29T05:22:16.157773
食料品>発酵食品>豆類,食料品,発酵食品,豆類,30,2025-12-29T05:22:16.309614
食料品>砂糖>その他砂糖,食料品,砂糖,その他砂糖,0,2025-12-29T21:09:05.93091
食料品>砂糖>砂糖,食料品,砂糖,砂糖,2,2025-12-29T20:52:03.504655
食料品>砂糖・甘味料>砂糖,食料品,砂糖・甘味料,砂糖,1,2025-12-29T21:10:00.817399
食料品>砂糖・甘味料>黒糖,食料品,砂糖・甘味料,黒糖,1,2025-12-29T21:22:41.330502
食料品>砂糖類>砂糖,食料品,砂糖類,砂糖,1,2025-12-29T20:52:54.854159
食料品>穀物類>シリアル,食料品,穀物類,シリアル,22,2025-12-29T04:55:58.37657
食料品>米>精米,食料品,米,精米,1,2025-12-29T21:19:15.323879
食料品>米・穀物>アルファ化米,食料品,米・穀物,アルファ化米,1,2025-12-29T20:52:26.790759
食料品>米・穀物>米,食料品,米・穀物,米,0,2025-12-29T21:06:02.945267
食料品>米・穀物・パン>米加工品,食料品,米・穀物・パン,米加工品,1,2025-12-29T20:49:52.696508
食料品>米・穀類>玄米,食料品,米・穀類,玄米,1,2025-12-29T22:46:24.249935
食料品>米・穀類>米,食料品,米・穀類,米,2,2025-12-29T21:19:02.943317
食料品>米・穀類>米粉,食料品,米・穀類,米粉,1,2025-12-29T22:01:22.586796
食料品>米飯・惣菜>炊き込みご飯の素,食料品,米飯・惣菜,炊き込みご飯の素,1,2025-12-29T20:50:20.205597
食料品>米飯・麺類>餅・団子,食料品,米飯・麺類,餅・団子,1,2025-12-29T20:46:55.009357
食料品>米飯・麺類・パン>お茶漬け,食料品,米飯・麺類・パン,お茶漬け,0,2025-12-29T20:56:09.404738
食料品>米飯類>炊き込みご飯の素,食料品,米飯類,炊き込みご飯の素,3,2025-12-29T20:50:04.118044
食料品>練り物>ちくわ,食料品,練り物,ちくわ,0,2025-12-29T21:02:52.909276
食料品>練り物・加工品>かまぼこ,食料品,練り物・加工品,かまぼこ,0,2025-12-29T20:53:57.26566
食料品>練り物・加工品>かまぼこ・ちくわ,食料品,練り物・加工品,かまぼこ・ちくわ,1,2025-12-29T20:53:43.083736
食料品>缶詰>魚介缶詰,食料品,缶詰,魚介缶詰,1,2025-12-29T21:07:00.588926
食料品>缶詰・瓶詰>フルーツ缶詰,食料品,缶詰・瓶詰,フルーツ缶詰,4,2025-12-29T21:07:26.789593
食料品>缶詰・瓶詰>果実缶詰,食料品,缶詰・瓶詰,果実缶詰,0,2025-12-29T21:07:18.82499
食料品>缶詰・瓶詰>漬物・梅干し,食料品,缶詰・瓶詰,漬物・梅干し,0,2025-12-29T20:57:46.964502
食料品>缶詰・瓶詰>豆類,食料品,缶詰・瓶詰,豆類,1,2025-12-29T22:08:24.676537
食料品>缶詰・瓶詰>野菜・果実の缶詰,食料品,缶詰・瓶詰,野菜・果実の缶詰,1,2025-12-29T22:10:05.493905
食料品>缶詰・瓶詰>野菜・豆類,食料品,缶詰・瓶詰,野菜・豆類,1,2025-12-29T22:08:35.24356
食料品>缶詰・瓶詰>魚介加工品,食料品,缶詰・瓶詰,魚介加工品,1,2025-12-29T22:10:43.031703
食料品>缶詰・瓶詰>魚介缶詰,食料品,缶詰・瓶詰,魚介缶詰,2,2025-12-29T22:09:09.763121
食料品>缶詰・瓶詰>魚介類の缶詰,食料品,缶詰・瓶詰,魚介類の缶詰,1,2025-12-29T22:09:59.722431
食料品>缶詰・瓶詰>魚介類缶詰,食料品,缶詰・瓶詰,魚介類缶詰,1,2025-12-29T22:09:19.970158
食料品>肉加工品>ソーセージ・ウインナー,食料品,肉加工品,ソーセージ・ウインナー,1,2025-12-29T22:40:46.921281
食料品>肉加工品>ソーセージ・ハム,食料品,肉加工品,ソーセージ・ハム,1,2025-12-29T20:45:40.955023
食料品>肉加工品>ハム,食料品,肉加工品,ハム,1,2025-12-29T21:17:23.052668
食料品>肉加工品>ハム・ソーセージ,食料品,肉加工品,ハム・ソーセージ,1,2025-12-29T22:40:13.539955
食料品>肉加工品>ベーコン,食料品,肉加工品,ベーコン,1,2025-12-30T01:59:24.024767
食料品>肉加工品>加工肉,食料品,肉加工品,加工肉,1,2025-12-29T20:45:52.517609
食料品>茶類>お茶,食料品,茶類,お茶,4,2025-12-29T05:22:06.541201
食料品>茶類>お茶・コーヒー,食料品,茶類,お茶・コーヒー,1,2025-12-29T05:22:07.007154
食料品>茶類>お茶類,食料品,茶類,お茶類,0,2025-12-29T05:22:06.310595
食料品>茶類>中国茶,食料品,茶類,中国茶,1,2025-12-29T05:22:06.930671
食料品>茶類>日本茶,食料品,茶類,日本茶,2,2025-12-29T05:22:06.615857
食料品>茶類>紅茶,食料品,茶類,紅茶,3,2025-12-29T05:22:06.147015
